video_id,anger,disgust,fear,happy,neutral,sad,surprise,total_mean,negative_mean
6981542616831659270,0.027777777777777776,0.0,0.125,0.7222222222222222,0.125,0.2361111111111111,0.6111111111111112,0.2638888888888889,0.09722222222222222
6990818542262226181,0.01680672268907563,0.8403361344537815,0.44537815126050423,0.08403361344537816,0.8823529411764706,0.3865546218487395,0.47058823529411764,0.44657863145258103,0.4222689075630252
7023160107949313286,0.0,0.6333333333333333,0.7666666666666667,0.0,0.8666666666666667,0.7333333333333333,0.8333333333333334,0.5476190476190477,0.5333333333333333
7036790343261506862,0.0,0.43243243243243246,0.04054054054054054,0.20270270270270271,0.6081081081081081,0.13513513513513514,0.08108108108108109,0.21428571428571427,0.15202702702702703
7070162913067109674,0.22023809523809523,0.35119047619047616,0.23214285714285715,0.30357142857142855,0.5476190476190477,0.48214285714285715,0.4107142857142857,0.3639455782312925,0.32142857142857145
7070296993783942443,0.0,0.18811881188118812,0.44554455445544555,0.13861386138613863,0.5544554455445545,0.2079207920792079,0.7524752475247525,0.32673267326732675,0.2103960396039604
7075469917625077034,0.0125,0.2125,0.3125,0.1875,0.775,0.4125,0.4875,0.34285714285714286,0.2375
7076144169172864299,0.030303030303030304,0.46464646464646464,0.18181818181818182,0.2727272727272727,0.797979797979798,0.40404040404040403,0.18181818181818182,0.3333333333333333,0.27020202020202017
7098279023851097349,0.0,0.0,0.10638297872340426,0.5957446808510638,0.3617021276595745,0.5106382978723404,0.2553191489361702,0.2613981762917933,0.15425531914893617
7099089382048533766,0.03773584905660377,0.3018867924528302,0.16981132075471697,0.27358490566037735,0.44339622641509435,0.1509433962264151,0.3490566037735849,0.24663072776280323,0.1650943396226415
7102205817524555054,0.025,0.1,0.175,0.25,0.575,0.6,0.125,0.2642857142857143,0.22499999999999998
7103547108795501866,0.0,0.09090909090909091,0.7575757575757576,0.020202020202020204,0.6060606060606061,0.9292929292929293,0.696969696969697,0.443001443001443,0.4444444444444444
7105468967698976042,0.15384615384615385,0.38461538461538464,0.28846153846153844,0.2692307692307692,0.3076923076923077,0.23076923076923078,0.46153846153846156,0.29945054945054944,0.2644230769230769
7114088725809777925,0.25,0.65,0.24,0.21,0.71,0.24,0.29,0.37,0.34500000000000003
7120552024994893061,0.050505050505050504,0.5454545454545454,0.40404040404040403,0.050505050505050504,0.6565656565656566,0.42424242424242425,0.6262626262626263,0.393939393939394,0.3560606060606061
7124338838503279914,0.0,0.3888888888888889,0.2222222222222222,0.16666666666666666,0.7777777777777778,0.3055555555555556,0.3333333333333333,0.31349206349206354,0.22916666666666669
